SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
O=C(O[C@H]1[C@@H](O)[C@H](Oc2c(C)c3OC(=O)C(NC(=O)c4cc(C/C=C(\C)/C)c(O)cc4)=C([O-])c3cc2)OC(C)(C)[C@@H]1OC)N,119.0,Low,21.0,novobiocin,Table1,611.6240000000001,2.995120000000001,202.83999999999997,4.0,11.0,8.0,4.0,44.0,0.3870967741935484
O=C(OCCCCCCCCC(=O)[O-])/C=C(\C[C@H]1[C@H](O)[C@H](O)[C@@H](C[C@H]2[C@H]([C@H]([C@@H](O)C)C)O2)CO1)/C,89.0,Low,1.0,mupirocin,Table1,499.6210000000002,1.2578000000000005,148.88,3.0,9.0,16.0,2.0,35.0,0.8461538461538461
O=C([O-])/C(/CC/C=C(\C)/C)=C/1\[C@@H](OC(=O)C)C[C@]2(C)[C@]3(C)[C@@H]([C@H](O)C[C@@H]\12)[C@]1(C)[C@H]([C@H](C)[C@H](O)CC1)CC3,52.0,Low,5.0,fusidic acid,Table1,515.7110000000002,4.331400000000004,106.89000000000001,2.0,6.0,5.0,4.0,37.0,0.8064516129032258
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,709.0,High,45.0,chloramphenicol,Table1,323.1320000000001,0.9089999999999996,112.7,3.0,5.0,6.0,1.0,20.0,0.36363636363636365
O(C)c1c(O)c2c(C(=O)[C@@H]3NCC[C@]42[C@@H]3C=C(OC)C(=O)C4)cc1,154.0,Low,89.0,2-22,Table2,329.3520000000001,1.3160999999999996,84.86000000000001,2.0,6.0,2.0,4.0,24.0,0.4444444444444444
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)CO,54.0,Low,24.0,2-27,Table2,415.4860000000002,1.6018199999999998,101.93,2.0,7.0,6.0,4.0,30.0,0.6086956521739131
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)C,16.0,Low,4.0,2-28,Table2,399.4870000000002,2.6294200000000005,81.7,1.0,6.0,5.0,4.0,29.0,0.6086956521739131
O(C)c1c2O[C@@H]3C(=O)C(OC)=C[C@@H]4[C@H]5N(C)CC[C@@]34c2c(cc1)C5,407.0,High,6.0,2-29,Table2,327.38000000000005,1.6833999999999998,48.00000000000001,0.0,5.0,2.0,5.0,24.0,0.5263157894736842
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)C(=O)C3,218.0,Low,10.0,2-32,Table2,329.3960000000001,2.0181,59.00000000000001,1.0,5.0,2.0,4.0,24.0,0.5263157894736842
O(C)C=1C(=O)C[C@@]23[C@@H]([C@@H](N(C)CC2)C=C2C3=C(O)C(=O)C=C2)C=1,213.0,Low,38.0,2-33,Table2,313.353,1.6871999999999998,66.84,1.0,5.0,1.0,4.0,23.0,0.4444444444444444
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)/C(=N/O)/C3,204.0,Low,26.0,2-35,Table2,344.41100000000006,2.2792000000000003,74.52000000000001,2.0,6.0,2.0,4.0,25.0,0.5263157894736842
O(C)c1c(O)c2c(cc1)C=CC=1[C@]32C[C@@](O)(N(C)CC3)C(=O)C=1,134.0,Low,65.0,2-37,Table2,313.35300000000007,1.5886999999999998,70.0,2.0,5.0,1.0,4.0,23.0,0.3888888888888889
