SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
O=C([O-])/C(/CC/C=C(\C)/C)=C/1\[C@@H](OC(=O)C)C[C@]2(C)[C@]3(C)[C@@H]([C@H](O)C[C@@H]\12)[C@]1(C)[C@H]([C@H](C)[C@H](O)CC1)CC3,52.0,Low,5.0,fusidic acid,Table1,2.275445683289579,1.7848205689031238,0.7130386811036933,0.5700939997693153,0.6201423106525156,1.1692891254011615,0.07934509067835882,2.368841731221162,1.178695011796892
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,709.0,High,45.0,chloramphenicol,Table1,-0.27157841900135976,-0.4724129425120071,0.8894844004112504,1.405479266758015,0.14947019795214478,1.7293369912890963,-2.2692695934010634,-0.828586270791952,-1.6812027728899581
O(C)c1c(O)c2c(C(=O)[C@@H]3NCC[C@]42[C@@H]3C=C(OC)C(=O)C4)cc1,154.0,Low,89.0,2-22,Table2,-0.18931353074121948,-0.20391137562996567,0.04400267484801709,0.5700939997693153,0.6201423106525156,-0.5108544722626435,0.07934509067835882,-0.07625027031827807,-1.159308254418774
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)CO,54.0,Low,24.0,2-27,Table2,0.9498832354000935,-0.01546561859352023,0.5624068794228875,0.5700939997693153,1.0908144233528865,1.7293369912890963,0.07934509067835882,1.0522537303922328,-0.09850091796104142
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)C,16.0,Low,4.0,2-28,Table2,0.7382826007901268,0.6622848361546645,-0.051964360093787056,-0.26529126721938434,0.6201423106525156,1.1692891254011615,0.07934509067835882,0.8641697302738143,-0.09850091796104142
O(C)c1c2O[C@@H]3C(=O)C(OC)=C[C@@H]4[C@H]5N(C)CC[C@@]34c2c(cc1)C5,407.0,High,6.0,2-29,Table2,-0.2153949390449173,0.03834022229627819,-1.0754102707073276,-1.100676534208084,0.14947019795214478,-0.5108544722626435,0.8622166520381662,-0.07625027031827807,-0.6305467028098116
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)C(=O)C3,218.0,Low,10.0,2-32,Table2,-0.18873159262491004,0.2590905893692807,-0.7413478073023143,-0.26529126721938434,0.14947019795214478,-0.5108544722626435,0.07934509067835882,-0.07625027031827807,-0.6305467028098116
O(C)C=1C(=O)C[C@@]23[C@@H]([C@@H](N(C)CC2)C=C2C3=C(O)C(=O)C=C2)C=1,213.0,Low,38.0,2-33,Table2,-0.40091416535118685,0.04084650073929407,-0.503252378839105,-0.26529126721938434,0.14947019795214478,-1.0709023381505784,0.07934509067835882,-0.26433427043669655,-1.159308254418774
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)/C(=N/O)/C3,204.0,Low,26.0,2-35,Table2,0.009854789565766959,0.4312983002828182,-0.27001604075269553,0.5700939997693153,0.6201423106525156,-0.5108544722626435,0.07934509067835882,0.1118337298001404,-0.6305467028098116
O(C)c1c(O)c2c(cc1)C=CC=1[C@]32C[C@@](O)(N(C)CC3)C(=O)C=1,134.0,Low,65.0,2-37,Table2,-0.4009141653511861,-0.024118874691511853,-0.40728534389730126,0.5700939997693153,0.14947019795214478,-1.0709023381505784,0.07934509067835882,-0.26433427043669655,-1.5181107358677128
O(C)c1c(O)c2c(C(=O)[C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)/C(=N/O)/C4)cc1,107.0,Low,39.0,2-38,Table2,0.19479207775572632,0.19399330454673713,0.2483881638221749,0.5700939997693153,1.0908144233528865,-0.5108544722626435,0.07934509067835882,0.29991772991855886,-0.9704648431298593
