Compound_ID,SourceTable,SMILES,suggested_smiles,suggested_valid,status
erythromycin,Table1,O([C@H]1[C@@H](C)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]1(O)C)[C@@H]1[C@@H](O)[C@H]([N+H](C)C)C[C@H](C)O1,O([C@H]1[C@@H](C)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]1(O)C)[C@@H]1[C@@H](O)[C@H]([NH+](C)C)C[C@H](C)O1,True,auto-fixed
rifampicin,Table1,O=C(O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(\C)/C(=O)Nc2c(/C=N\N3CC[N+H](C)CC3)c(O)c3c(c(O)c(C)c4O[C@@](C)(C(=O)c34)O/C=C/[C@H](OC)[C@H]1C)c2O)C,O=C(O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(\C)/C(=O)Nc2c(/C=N\N3CC[NH+](C)CC3)c(O)c3c(c(O)c(C)c4O[C@@](C)(C(=O)c34)O/C=C/[C@H](OC)[C@H]1C)c2O)C,True,auto-fixed
vancomycin,Table1,Clc1c2Oc3c(O[C@H]4[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@]([N+H3])(C)C5)[C@@H](O)[C@H](O)[C@@H](CO)O4)c4Oc5c(Cl)cc([C@@H](O)[C@H]6C(=O)N[C@H](C(=O)[O-])c7c(c(O)cc(O)c7)-c7c(O)ccc([C@H](C(=O)N6)NC(=O)[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@H]([N+H2]C)CC(C)C)[C@H](O)c(c1)cc2)c(c3)c4)c7)cc5,Clc1c2Oc3c(O[C@H]4[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@]([NH3+])(C)C5)[C@@H](O)[C@H](O)[C@@H](CO)O4)c4Oc5c(Cl)cc([C@@H](O)[C@H]6C(=O)N[C@H](C(=O)[O-])c7c(c(O)cc(O)c7)-c7c(O)ccc([C@H](C(=O)N6)NC(=O)[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@H]([NH2+]C)CC(C)C)[C@H](O)c(c1)cc2)c(c3)c4)c7)cc5,True,auto-fixed
daptomycin,Table1,O=C(N[C@H](C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)c2c(N)cccc2)NC(=O)[C@H]([C@@H](CC(=O)[O-])C)NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H](C)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCC[N+H3])NC(=O)CNC1=O)CC(=O)[O-])[C@H](NC(=O)[C@@H](NC(=O)CCCCCCCCC)Cc1c2c([nH]c1)cccc2)CC(=O)N,O=C(N[C@H](C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)c2c(N)cccc2)NC(=O)[C@H]([C@@H](CC(=O)[O-])C)NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H](C)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCC[NH3+])NC(=O)CNC1=O)CC(=O)[O-])[C@H](NC(=O)[C@@H](NC(=O)CCCCCCCCC)Cc1c2c([nH]c1)cccc2)CC(=O)N,True,auto-fixed
clindamycin,Table1,Cl[C@H]([C@@H](NC(=O)[C@H]1[N+@@H](C)C[C@H](CCC)C1)[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O1)C,Cl[C@H]([C@@H](NC(=O)[C@H]1[N@@H+](C)C[C@H](CCC)C1)[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O1)C,True,auto-fixed
ampcillin,Table1,O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12)[C@H]([N+H3])c1ccccc1,O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12)[C@H]([NH3+])c1ccccc1,True,auto-fixed
tetracycline,Table1,O=C(N)C=1C(=O)[C@@H]([N+H](C)C)[C@H]2[C@@](O)(C=1[O-])C(=O)C1=C([O-])c3c(O)cccc3[C@](O)(C)[C@H]1C2,O=C(N)C=1C(=O)[C@@H]([NH+](C)C)[C@H]2[C@@](O)(C=1[O-])C(=O)C1=C([O-])c3c(O)cccc3[C@](O)(C)[C@H]1C2,True,auto-fixed
ciprofloxacin,Table1,Fc1c(N2CC[N+H2]CC2)cc2N(C3CC3)C=C(C(=O)[O-])C(=O)c2c1,Fc1c(N2CC[NH2+]CC2)cc2N(C3CC3)C=C(C(=O)[O-])C(=O)c2c1,True,auto-fixed
2-1,Table2,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1)c1ccc(-c2ccccc2)cc1,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccc(-c2ccccc2)cc1,True,auto-fixed
2-2,Table2,Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([N+H3])[C@H]3OC2)cc1,Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([NH3+])[C@H]3OC2)cc1,True,auto-fixed
