smiles,name,table,page,row,Accum,Accum_SE,Accum_class,Molecular_weight,clogD7.4,RB,glob,PBF,pmi1_MW,fgroup,Unnamed: 15,Unnamed: 16
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccc(-c2ccccc2)cc1,2-1,2.0,1.0,1.0,1965.0,108.0,High,362.428,0.6,4.0,0.06,0.89,2.65,Primary_amine,,
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([NH3+])[C@H]3OC2)cc1,2-2,2.0,1.0,2.0,1647.0,108.0,High,365.23,-0.28,3.0,0.11,0.88,2.35,Primary_amine,,
O[C@@]12C(=C)C[C@]3([C@@H](C[NH3+])c4c(C)cccc4[C@H]3CC1)C2,2-3,2.0,1.0,3.0,1335.0,8.0,High,270.398,-0.09,1.0,0.19,0.91,3.02,Primary_amine,,
[NH3+]C[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@@H]([NH3+])[C@](C)(C3)CC2,2-4,2.0,1.0,4.0,946.0,138.0,High,272.437,-2.49,1.0,0.21,1.07,2.82,Primary_amine,,
O[C@@]12C(=C)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC1)C2,2-5,2.0,1.0,5.0,756.0,94.0,High,256.371,0.46,0.0,0.18,0.87,2.46,Primary_amine,,
O=C1[C@]2(C)[C@H]([NH3+])C=C[C@]3(O1)[C@@H]2[C@H](C[NH3+])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,2-6,2.0,1.0,6.0,504.0,39.0,High,332.447,-4.37,1.0,0.19,1.04,3.39,Primary_amine,,
O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[NH3+])CC4)ccnc2cc1,2-7,2.0,1.0,7.0,458.0,58.0,High,384.524,0.14,5.0,0.32,1.29,6.47,Primary_amine,,
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccc(N)cc1,2-8,2.0,2.0,1.0,331.0,68.0,Low,301.344,-1.87,3.0,0.13,0.92,2.96,Primary_amine,,
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](C[NH3+])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,2-9,2.0,2.0,2.0,309.0,38.0,High,332.423,-2.64,1.0,0.22,1.08,3.39,Primary_amine,,
O(C)C=1C(=O)NC[C@@]23[C@@H]([C@@H](N(C)CC2)[C@H]([NH3+])c2c3c3OCOc3cc2)C=1,2-10,2.0,2.0,3.0,219.0,16.0,Low,358.421,-1.93,1.0,0.44,1.28,5.05,Primary_amine,,
O(C)[C@H]1[C@H]([NH3+])C[C@@]23[C@@H]([C@@H]([NH2+]CC2)Cc2c3c(O)c(OC)cc2)C1,2-11,2.0,2.0,4.0,204.0,14.0,Low,320.435,-3.91,2.0,0.39,1.3,5.0,Primary_amine,,
O(C)c1cc2c([C@H](N)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,2-12,2.0,2.0,5.0,167.0,12.0,Low,324.45,0.33,4.0,0.24,1.13,4.6,Primary_amine,,
[NH3+][C@@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1,2-13,2.0,2.0,6.0,20.0,2.0,Low,146.191,-4.78,0.0,0.17,0.74,1.38,Primary_amine,,
O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1,2-14,2.0,2.0,7.0,0.0,0.0,Low,146.167,-2.81,0.0,0.24,0.74,1.61,Primary_amine,,
O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[NH2+]C)C2=CC(=O)C(OC)=C1,2-15,2.0,3.0,1.0,525.0,22.0,High,328.391,-1.03,5.0,0.21,1.21,3.64,Sec_amine,,
OCC[NH2+][C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-16,2.0,3.0,2.0,497.0,110.0,High,300.425,0.11,3.0,0.2,0.93,4.37,Sec_amine,,
Oc1c(O)cccc1C[NH2+][C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-17,2.0,3.0,3.0,493.0,163.0,Low,378.496,1.93,3.0,0.18,1.03,5.24,Sec_amine,,
O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[NH2+]C)CC4)ccnc2cc1,2-18,2.0,3.0,4.0,390.0,24.0,High,398.551,0.24,6.0,0.35,1.32,6.77,Sec_amine,,
O=C(CC[C@H]1[C@@H](C=C)C[NH2+]CC1)c1c2c(ncc1)ccc(OC)c2,2-19,2.0,3.0,5.0,201.0,6.0,Low,325.434,0.04,6.0,0.15,0.97,4.29,Sec_amine,,
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([NH2+]C)[C@H]3OC2)cc1,2-20,2.0,3.0,6.0,176.0,7.0,Low,379.257,0.11,4.0,0.11,0.91,2.73,Sec_amine,,
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[NH2+]C(C)(C)C)(C3)CC2,2-21,2.0,3.0,7.0,175.0,65.0,Low,473.595,-2.25,5.0,0.12,1.07,5.69,Sec_amine,,
O(C)c1c(O)c2c(C(=O)[C@@H]3NCC[C@]42[C@@H]3C=C(OC)C(=O)C4)cc1,2-22,2.0,4.0,1.0,154.0,89.0,Low,329.356,0.01,2.0,0.37,1.23,5.24,Sec_amine,,
